word,dialect,phonetic,mandarin,usage,english,iid
 ,腹紧=,bǔ jiān,里面,躲在～,inside,0128
 ,门下,mián hō,外面,衣服晒在～,outside,0129
 ,边侧,bián zī,旁边,,side,0130
 ,高头,gié toū,上,碗在桌子～,on,0131
 ,底下,dī hò,下,凳子在桌子～,under,1124
 ,边侧,bián zī,边儿,桌子的～,table side,0133
 ,角牯,jiǔ gō,角儿,桌子的～,the corner of a table,0134
 ,上去,sēn hò,上去,他～了,go up,0135
 ,下来,hō lā,下来,他～了,go down,0136
 ,进去,èng hō,进去,他～了,go inside,0137
 ,出来,suaǐ lā,出来,他～了,come out,0138
 ,出去,suaǐ hō,出去,他～了,go out,0139
 ,归来,guaí lā,回来,他～了,go back,0140
 ,起来,sī lā,起来,天冷～了,get,0141
 ,树子,xiè lè,树,,tree,0142
  ,木瘩牯,mò dā gɕ̄,木头,,wood,0143
 ,松树,qián xiè,松树,统称,pine,0144
  ,柏料树,pò lì xiè,柏树,统称,cypress,0145
 ,杉树,só xiè,杉树,,cedar,0146
  ,柳叶树,liū zì xiè,柳树,,willow,0147
 ,竹子,zoǔ dē,竹子,统称,bamboo,0148
 ,笋子,xiān dē,笋,,bamboo shoot,0149
  ,叶子皮,zì lè pā,叶子,,leaf,0150
,花,hó,花,,flower,0708
  ,花苞苞,hó biú biū,花蕾,花骨朵,bud,0152
 ,梅花,mé hō,梅花,,plum blossom,0153
,草,qiē,草,,grass,0156
,藤,tián,藤,,vine,0157
,#5,lè,刺,名词,thorn,0158
 ,桃子,tié lē,桃子,,peach,0161
 ,梨子,lai lē,梨,,pear,0162
 ,李子,laī lè,李子,,plum,0163
 ,柑子,gín zī,橘子,,tangerine,0165
 ,桂=子,guaǐ lē,柚子,,pomelo,0166
 ,柿子,sī lè,柿子,,persimmon,0167
 ,石榴,sò liū,石榴,,pomegranate,0168
 ,枣栗,jiē laì,枣,,jujube,0169
 ,板栗,biē laì,栗子,,chestnut,0170
 ,梗子,mēn lè,甘蔗,,sugarcane,0173
 ,菌子,qiān lè,蘑菇,野生的,mushroom,0175
,禾,wú,稻,指植物,rice plant,0177
 ,谷子,gǒ lē,稻谷,指籽实（脱粒后是大米）,rice,0178
  ,金禾草,jián wū qiē,稻草,脱粒后的,rice grass,0179
  ,四月麦,saī weì mò,大麦,指植物,barley,0180
 ,谷子,gǒ lē,谷子,指植物(籽实脱粒后是小米),millet,0183
 ,高粱,gié līn,高粱,指植物,sorghum,0184
 ,玉米,yú mī,玉米,指成株的植物,corn,0185
 ,棉花,mán hō,棉花,指植物,cotton,0186
 ,油菜,yóu qiā,油菜,油料作物，不是蔬菜,rapeseed plant,0187
 ,麻子,mó dē,芝麻,,sesame,0188
 ,蚕豆,càn doū,蚕豆,,broad bean,0190
 ,冬豆,dián toù,豌豆,,pea,0191
  ,落花生,lò fā sēn,花生,指果实，注意婉称,peanut,0192
  ,黄豆子,hín toù lè,黄豆,,soybean,0193
 ,绿豆,liè toù,绿豆,,mung bean,0194
 ,豆公,toù gān,豇豆,长条形的,yard-long bean,0195
 ,白菜,pò qiā,包心菜,卷心菜，圆白菜，球形的,cabbage,0197
 ,菠菜,bō qiā,菠菜,,spinach,0198
 ,芹菜,qìn zaī,芹菜,,celery,0199
 ,莴笋,ō sēn,莴笋,,asparagus lettuce,0200
 ,韭菜,jiū qiā,韭菜,,fragrant-flowered garlic,0201
 ,芫荽,yuàn xū,香菜,芫荽,coriander,0202
,葱,qián,葱,,scallion,0203
,蒜,xūn,蒜,,garlic,0204
,姜,jín,姜,,ginger,0205
 ,洋葱,yín qiān,洋葱,,onion,0206
 ,辣椒,là zī,辣椒,统称,chili,0207
 ,茄子,qié lē,茄子,统称,eggplant,0208
 ,萝卜,lé bē,萝卜,统称,radish,0210
  ,胡萝卜,fú lé bē,胡萝卜,,carrot,0211
 ,黄瓜,hín gō,黄瓜,,cucumber,0212
 ,丝瓜,sí gō,丝瓜,无棱的,sponge gourd,0213
 ,北瓜,bě gō,南瓜,扁圆形或梨形，成熟时赤褐色,pumpkin,0214
 ,麻茨,mó cān,荸荠,,water chestnut,0215
 ,红薯,hán xiè,红薯,统称,sweet potato,0216
 ,芋头,yú toù,芋头,,taro,0218
 ,槐山,faì sān,山药,圆柱形的,yam,0219
,藕,oū,藕,,lotus root,0220
 ,老虎,liē hò,老虎,,tiger,0221
 ,猴子,hoú lē,猴子,,monkey,0222
,蛇,só,蛇,统称,snake,0223
 ,老鼠,liē xiè,老鼠,家里的,mouse,0224
  ,洋老鼠,yín liē xiè,蝙蝠,,bat,0225
 ,鸟子,dī dē,鸟儿,飞鸟，统称,bird,0226
 ,麻雀,mà qiò,麻雀,,sparrow,0227
  ,死唧唧,sī jià jià,乌鸦,,crow,0229
 ,鸽子,gò zī,鸽子,,pigeon,0230
 ,翅嘎,cì gā,翅膀,鸟的，统称,wing,0231
 ,爪子,gó zī,爪子,鸟的，统称,claw,0232
 ,尾公,mā gān,尾巴,,tail,0233
 ,族哩,toū lè,窝,鸟的,nest,0234
 ,虫婆,lián bū,虫子,统称,insect,0235
  ,飞嬷嬷,feī mō mō,蝴蝶,统称,butterfly,0236
   ,洋杆咩咩,yín gān miē miē,蜻蜓,统称,dragonfly,0237
 ,蜜蜂,màn pián,蜜蜂,,bee,0238
 ,蜜糖,màn tēn,蜂蜜,,honey,0239
  ,唧唧哟,zī zī yō,知了,统称,cicada,0240
   ,蚂蚁崽崽,mā lì zē zē,蚂蚁,,ant,0241
 ,䖾婆,xīn bū,蚯蚓,,earthworm,0242
   ,蚕丝虫婆,cén sí lián bū,蚕,,silkworm,0243
   ,波丝螳螂,bō sī dàn dàn,蜘蛛,会结网的,spider,0244
 ,蚊子,miān lè,蚊子,统称,mosquito,0245
  ,蛆头蚊,qié toū miān,苍蝇,统称,fly,0246
 ,狗蚤,goū jiē,跳蚤,咬人的,flea,0247
 ,虱婆,sǎ bū,虱子,,louse,0248
,鱼,ngó,鱼,,fish,0249
 ,鲤鱼,lān ngō,鲤鱼,,carp,0250
  ,斧头鱼,bǔ toū ó,鳙鱼,胖头鱼,bighead carp,0251
 ,鲫鱼,zǐ ngō,鲫鱼,,crucian carp,0252
,鳖,bǐ,甲鱼,,soft-shelled turtle,0253
 ,鳞甲,lán ngō,鳞,鱼的,fish scale,0254
 ,虾公,hó gān,虾,统称,shrimp,0255
 ,螃蟹,pàn haī,螃蟹,统称,crab,0256
 ,麻拐,mió gyā,青蛙,统称,frog,0257
   ,癞子麻拐,lià lè mió gyā,癞蛤蟆,表皮多疙瘩,toad,0258
,马,mō,马,,horse,0259
 ,骡子,lé dē,骡,,mule,0261
,牛,ngoú,牛,,cattle,0262
 ,牛公,ngoú gān,公牛,统称,bull,0263
 ,牛婆,ngoú bū,母牛,统称,cow,0264
 ,放牛,bēn ngoú,放牛,,graze cattle,0265
,羊,yín,羊,,sheep,0266
,猪,jié,猪,,pig,0267
  ,猪楼公,jié loū gàn,种猪,配种用的公猪,breeding pig,0268
 ,猪公,jié gān,公猪,成年的，已阉的,barrow,0269
 ,猪婆,jié bū,母猪,成年的，未阉的,sow,0270
  ,猪崽崽,jié zē zē,猪崽,,piglet,0271
 ,猪楼,jié loū,猪圈,,pigsty,0272
 ,养猪,yīn jié,养猪,,pig farming,0273
 ,猫崽,mō zaī,猫,,cat,0274
  ,公猫崽,gán mō zaī,公猫,,tomcat,0275
  ,婆猫崽,pú mō zaī,母猫,,female cat,0276
,狗,goū,狗,统称,dog,0277
 ,狗公,goū gān,公狗,,male dog,0278
 ,狗婆,goū pū,母狗,,female dog,0279
,叫,xiǔ,叫,狗～,bark,0920
 ,兔子,tō dè,兔子,,rabbit,0281
,鸡,zí,鸡,,chicken,0282
 ,鸡公,zí gān,公鸡,成年的，未阉的,rooster,0283
 ,鸡婆,zí bū,母鸡,已下过蛋的,hen,0284
,叫,xiǔ,叫,公鸡～（即打鸣儿）,crow,0920
,生,xié,下,鸡～蛋,lay (eggs),1124
,孵,piè,孵,～小鸡,hatch,0287
,鸭,ǒ,鸭,,duck,0288
,鹅,ngé,鹅,,goose,0289
,劁,zí,阉,～公的猪,castrate (boar),0292
,阉,lín,阉,～母的猪,castrate (sow),0292
,阉,lín,阉,～鸡,castrate (chicken),0292
,喂,waī,喂,～猪,feed (pigs),0293
 ,杀猪,sǎ jié,杀猪,统称，注意婉称,kill pigs,0294
,剖,gā,杀,～鱼,kill,0295
 ,围楼,waí loū,村庄,一个～,village,0296
 ,弄牯,liàn gō,胡同,统称：一条～,alleyway,0297
,街,gá,街道,,street,0298
 ,起屋,sī ǒ,盖房子,,build a house,0299
,屋,ǒ,房子,整座的，不包括院子,house,0300
 ,间子,giē lè,屋子,房子里分隔而成的，统称,room,0301
 ,房屋,hín ō,卧室,,bedroom,0302
