word,dialect,phonetic,mandarin,usage,english,iid
 ,木头,mò toū,棺材,,coffin,0556
 ,出葬,suaǐ zēn,出殡,,carry a coffin to the cemetery,0557
 ,灵位,lió waì,灵位,,temporary memorial tablet,0558
,祖,zō,坟墓,单个的，老人的,grave,0559
 ,钱纸,cán zī,纸钱,,joss paper,0561
  ,天老爷,tán liē yō,老天爷,,god,0562
 ,菩萨,pú sò,菩萨,统称,bodhisattva,0563
  ,观娘娘,gún līn līn,观音,,kwan-yin,0564
   ,撑铛姑姑,qié qiē gó gō,灶神,口头的叫法，其中如有方言亲属称谓要释义,kitchen god,0565
,庙,mì,寺庙,,temple,0566
 ,祠堂,cí tēn,祠堂,,ancestral temple,0567
 ,斋公,zá gān,和尚,,monk,0568
 ,斋婆,zá bū,尼姑,,nun,0569
   ,裟公皮子,sí gān pá lē,道士,,Taoist,0570
  ,盯八字,diǒ bi cì,算命,统称,fortunetelling,0571
 ,运气,yuàn zī,运气,,fortune,0572
 ,保倒,biē diē,保佑,,bless,0573
,人,éng,人,一个～,person,0574
  ,男人家,ló ēng gō,男人,成年的，统称,man,0575
 ,女人,liē ēng,女人,三四十岁已婚的，统称,woman,0576
  ,单身公,dié xié gàn,单身汉,,bachelor,0577
  ,老姑婆,liē gō bū,老姑娘,,old spinster,0578
   ,毛奶崽崽,mié liā zē zē,婴儿,,infant,0579
 ,徕头,liā toù,小孩,三四岁的，统称,child,0580
  ,儿子家,ló dē gō,男孩,统称：外面有个～在哭,boy,0581
  ,女子家,liē dè gō,女孩,统称：外面有个～在哭,girl,0582
  ,老人家,liē ēng gō,老人,七八十岁的，统称,elder,0583
 ,亲戚,jián zī,亲戚,统称,relatives,0584
 ,朋友,pián yōu,朋友,统称,friend,0585
   ,隔壁邻舍,gǒ biǒ lió xiō,邻居,统称,neighbor,0586
,客,kǒ,客人,,guest,0587
 ,农夫,lén fū,农民,,farmer,0588
   ,做生意的,zē sɕié zī gè,商人,,businessman,0589
   ,做手艺的,zē soū lì gè,手艺人,统称,craftsman,0590
 ,砌匠,cī dchiè̃,泥水匠,,plasterer,0591
 ,木匠,mò qìn,木匠,,carpenter,0592
  ,扯衣的,yǎ á gē,裁缝,,tailor,0593
   ,剃毛毛的,tí miē miē gè,理发师,,barber,0594
 ,师傅,sí fū,师傅,,master,0596
 ,徒弟,tó tī,徒弟,,apprentice,0597
  ,讨吃牯,tiē zì gō,乞丐,统称，非贬称(无统称则记成年男的),beggar,0598
  ,码子婆,mō zī pō,妓女,,prostitute,0599
 ,痞子,pī zī,流氓,,rogue,0600
 ,贼佬,cè lō,贼,,thief,0601
 ,瞎子,hǎ lē,瞎子,统称，非贬称(无统称则记成年男的),blind man,0602
 ,聋子,lián lē,聋子,统称，非贬称(无统称则记成年男的),the deaf,0603
 ,哑子,ō lē,哑巴,统称，非贬称(无统称则记成年男的),mute,0604
 ,驼子,tē lē,驼子,统称，非贬称(无统称则记成年男的),hunchback,0605
 ,摆=子,biá lē,瘸子,统称，非贬称(无统称则记成年男的),cripple,0606
 ,癫子,dán lē,疯子,统称，非贬称(无统称则记成年男的),madman,0607
 ,蠢子,cuā zī,傻子,统称，非贬称(无统称则记成年男的),fool,0608
  ,呆货,ngá ke ū,笨蛋,蠢的人,fool,0609
 ,公公,gán gān,爷爷,呼称，最通用的,grandfather,0610
 ,奶奶,liān liān,奶奶,呼称，最通用的,grandmother,0611
 ,多公,dé gān,外祖父,叙称,grandfather,0612
 ,多婆,dé bū,外祖母,叙称,grandmother,0613
   ,耶耶爹爹,yē yē diā diā,父母,合称,parent,0614
 ,爹爹,diā diā,父亲,叙称,father,0615
 ,耶耶,yē yē,母亲,叙称,mother,0616
 ,爹,diā diā,爸爸,呼称，最通用的,dad,0617
,耶,yē,妈妈,呼称，最通用的,mom,0618
   ,继父公子,zī fū gán lē,继父,叙称,stepfather,0619
   ,后来老母,hoū lā liē mō,继母,叙称,stepmother,0620
   ,岳哺公子,wè pū gán lē,岳父,叙称,father-in-law,0621
   ,岳哺老母,wè pū liē mō,岳母,叙称,mother-in-law,0622
 ,公子,gán lē,公公,叙称,father-in-law,0623
 ,老母,liē mō,婆婆,叙称,mother-in-law,0624
 ,伯伯,bǒ bō,伯父,呼称，统称,uncle,0625
 ,伯伯,bǒ bō,伯母,呼称，统称,aunt,0626
 ,满满,mān mān,叔父,呼称，统称,uncle,0627
 ,满满,miē mān,排行最小的叔父,呼称，如“幺叔”,uncle,0628
 ,婶婶,mēn mēn,叔母,呼称，统称,aunt,0629
 ,姑姑,gó gō,姑,统称，呼称(无统称则记分称：比父大，比父小；已婚，未婚),aunt,0630
 ,姑姨,gó yōu,姑父,呼称，统称,uncle,0631
 ,舅舅,qiū qiù,舅舅,呼称,uncle,0632
 ,舅嬷,qiū mèn,舅妈,呼称,aunt,0633
 ,姨姨,yōu yōu,姨,统称，呼称(无统称则记分称：比母大，比母小；已婚，未婚),aunt,0634
  ,姨丈爷,zí cēn yō,姨父,呼称，统称,uncle,0635
 ,兄弟,xió liā,弟兄,合称,brothers,0636
 ,姊妹,zā mè,姊妹,合称，注明是否可包括男性,sisters,0637
 ,哥哥,gō gō,哥哥,呼称，统称,elder brother,0638
 ,嫂嫂,xiē xiē,嫂子,呼称，统称,sister-in-law,0639
 ,毛毛,mié miē,弟弟,叙称,younger brother,0640
  ,弟伯嫂,liā bè xiē,弟媳,叙称,sister-in-law,0641
 ,姐姐,jiē jiē,姐姐,呼称，统称,sister,0642
 ,姊丈,zā cēn,姐夫,呼称,brother-in-law,0643
 ,妹崽,mè mè,妹妹,叙称,sister,0644
  ,姨妹兄,yōu mè sō,妹夫,叙称,brother-in-law,0645
 ,兄嫂,xió xiē,妯娌,弟兄妻子的合称,wives of brothers,0648
 ,老姨,lō zì,连襟,姊妹丈夫的关系，叙称,husbands of sisters,0649
 ,儿子,ló dē,儿子,叙称：我的～,son,0650
 ,媳妇,xián fū,儿媳妇,叙称：我的～,daughter-in-law,0651
 ,女子,baí dè,女儿,叙称：我的～,daughter,0652
 ,姑丈,gó cēn,女婿,叙称：我的～,son-in-law,0653
 ,孙子,suán dē,孙子,儿子之子,grandson,0654
 ,色=子,sě dē,重孙子,儿子之孙,great grandson,0655
 ,侄子,zè dè,侄子,弟兄之子,nephew,0656
 ,外甥,wè xiē,外甥,姐妹之子,nephew,0657
 ,外孙,wè xiē,外孙,女儿之子,grandson,0658
  ,两姑婆,līn gō p̄,夫妻,合称,couple,0659
 ,男人,ló ēng,丈夫,叙称，最通用的，非贬称：她的～,husband,0660
 ,老客,liē kō,妻子,叙称，最通用的，非贬称：他的～,wife,0661
 ,名字,mió zì,名字,,name,0662
 ,讳名,fiān miō,绰号,,nickname,0663
 ,做事,zē sì,干活儿,统称：在地里～,work,0664
 ,事情,sì jìn,事情,一件～,matter,0665
 ,莳田,sì tán,插秧,,transplant rice seedlings,0666
 ,割禾,gě wú,割稻,,cut rice,0667
  ,种青菜,zān qió cā,种菜,,grow vegetables,0668
,犁,lí,犁,名词,plough,0669
 ,锄头,jiě toū,锄头,,hoe,0670
 ,镰刀,lán diē,镰刀,,sickle,0671
 ,把把,bō bō,把儿,刀～,handle,0672
 ,扁子,bān lē,扁担,,shoulder pole,0673
 ,围篮,waí liān,箩筐,,a large bamboo basket,0674
 ,筛子,sá lē,筛子,统称,sifter,0675
 ,畚箕,biān zī,簸箕,农具，有梁的,dustpan,0677
 ,簸箕,bē zī,簸箕,簸米用,dustpan,0677
 ,磙子,kàn lè,轮子,旧式的，如独轮车上的,wheel,0679
,碓,dē,碓,整体,pestle,0680
 ,碓夯,dē hān,臼,,mortar,0681
 ,磨石,mè sò,磨,名词,stone mill,0682
 ,年成,lán sō,年成,,the year’s harvest,0683
 ,打工,dā gán,打工,,do work for others,0685
 ,斧头,bǔ toū,斧子,,axe,0686
 ,铗子,gǎ lē,钳子,,pliers,0687
 ,起子,cī zī,螺丝刀,,screwdriver,0688
 ,锤子,cuá lē,锤子,,hammer,0689
 ,钉子,dió dē,钉子,,nail,0690
 ,索子,sě lē,绳子,,rope,0691
 ,棍子,guān lē,棍子,,stick,0692
  ,做生意,zē xié zī,做买卖,,deal,0693
 ,铺子,pū lè,商店,,shop,0694
 ,伙铺,fū bū,饭馆,,restaurant,0695
 ,伙铺,fū pū,旅馆,旧称,hotel,0696
,贵,guaī,贵,,expensive,0697
 ,便宜,paí līn,便宜,,cheap,0698
  ,划得来,fiǎ dē lá,合算,,excellent value,0699
 ,亏本,guaí biān,亏本,,loss cost,0701
,钱,cán,钱,统称,money,0702
 ,零钱,lió cān,零钱,,change,0703
 ,毫子,hò zī,硬币,,coin,0704
 ,本钱,biān cān,本钱,,principal,0705
 ,工钱,gán cān,工钱,,salary,0706
  ,路费钱,lò fēn cān,路费,,toll,0707
,用,yàn,花,～钱,spend,0708
,赚,qū,赚,卖一斤能～一毛钱,earn,0709
,抓,zó,挣,打工～了一千块钱,earn,0710
,欠,qīn,欠,～他十块钱,owe,0711
 ,算盘,xūn pīn,算盘,,abacus,0712
,秤,cān,秤,统称,scales,0713
,称,cán,称,用秆秤～,weigh,0714
  ,赶闹子,gīn ló zī,赶集,,go to market,0715
 ,闹子,ló zī,集市,,market,0716
 ,学堂,xiò tàn,学校,,school,0718
 ,教室,jiaó sì,教室,,classroom,0719
 ,上学,sēn xiù,上学,,go to school,0720
 ,放学,bēn xiù,放学,,school is over,0721
 ,考试,kiē sì,考试,,exam,0722
 ,书包,xié biū,书包,,schoolbag,0723
 ,本子,biān lē,本子,,notebook,0724
 ,铅笔,yín baī,铅笔,,pencil,0725
 ,水笔,suaī baī,钢笔,,pen,0726
  ,圆珠笔,yuàn jū bì,圆珠笔,,ball-point pen,0727
 ,毛笔,mié baī,毛笔,,ink brush,0728
,墨,mè,墨,,ink,0729
 ,墨盘,mè pàn,砚台,,ink stone,0730
,信,xiān,信,一封～,letter,0731
   ,人崽崽书,éng zē zē xié,连环画,,comic strip,0732
   ,揢摸哒扯,há mō dà qiē,捉迷藏,,hide-and-seek,0733
 ,跳绳,tiaó sù,跳绳,,rope skipping,0734
  ,球子钱,qiú lē cán,毽子,,shuttlecock,0735
  ,耍狮子,suā sī lē,舞狮,,lion dance,0737
 ,炮丈,piū cēn,鞭炮,统称,firecracker,0738
 ,唱歌,cēn gú,唱歌,,sing,0739
 ,唱戏,cēn sī,演戏,,act in a play,0740
 ,锣鼓,lé gō,锣鼓,统称,gong and drum,0741
  ,拱拱型=,gō gō xìn,二胡,,Erhu,0742
 ,笛子,tiò dè,笛子,,flute,0743
 ,猜拳,cá guán,划拳,,finger-guessing game,0744
 ,下棋,hō zí,下棋,,play chess,0745
  ,打扑克,dā pō kè,打扑克,,play poker,0746
  ,打麻将,dā mó jīn,打麻将,,play Mahjong,0747
  ,耍把戏,suā bō sī,变魔术,,perform conjuring tricks,0748
  ,讲古话,jiān gō hò,讲故事,,tell a story,0749
  ,猜谜子,cá mǎ dē,猜谜语,,guess riddle,0750
  ,走亲戚,zoū qián zī,走亲戚,,visit relatives,0753
,盯,diǒ,看,～电视,watch,0754
,听,tiō,听,用耳朵～,listen,0755
,闻,miān,闻,嗅：用鼻子～,smell,0756
,吸,zuǐ,吸,～气,inhale,0757
,睁,guá,睁,～眼,open,0758
,闭,maí,闭,～眼,close,0762
,眨,zā,眨,～眼,blink,0760
,啊,á,张,～嘴,open,1095
,闭,mǐ,闭,～嘴,close,0762
,咬,liū,咬,狗～人,bite,0763
,嚼,jiù,嚼,把肉～碎,chew,0764
,哽,gán,咽,～下去,swallow,0765
,舔,liō,舔,人用舌头～,lick,0766
,含,hín,含,～在嘴里,keep,0767
 ,打啵,dā bō,亲嘴,,kiss,0768
,吸,zuǐ,吮吸,用嘴唇聚拢吸取液体，如吃奶时,suck,0769
,吐,tō,吐,上声，把果核儿～掉,spit,0771
,吐,tō,吐,去声，呕吐：喝酒喝～了,vomit,0771
  ,打海青=,dā haī qìn,打喷嚏,,sneeze,0772
,驮,dē,拿,用手把苹果～过来,take,0773
,予,yé,给,他～我一个苹果,give,0774
,摸,mín,摸,～头,touch,0775
,伸,zī,伸,～手,stretch,0776
,抠,koú,挠,～痒痒,tickle,0777
,掐,liǎ,掐,用拇指和食指的指甲～皮肉,pinch,0778
,拧,liú,拧,～螺丝,wring,0780
,拧,liu,拧,～毛巾,twist,0780
,捏,lá,捻,用拇指和食指来回～碎,entwist,0781
,掰,bǎ,掰,把橘子～开，把馒头～开,force apart,0782
,剥,biǔ,剥,～花生,peel,0783
,撕,sí,撕,把纸～了,rive,0784
,折,bǎ,折,把树枝～断,break off,0785
,扯,yà,拔,～萝卜,pull,0786
,摘,zǒ,摘,～花,pick,0787
,徛,zī,站,站立：～起来,stand up,0788
,倚,piàn,倚,斜靠：～在墙上,lean,0789
,蹲,duán,蹲,～下,crouch,0790
,坐,cē,坐,～下,sit,0791
,跳,taī,跳,青蛙～起来,jump,0792
,拃,qiò,迈,跨过高物：从门槛上～过去,beyond,0793
,踩,loù,踩,脚～在牛粪上,trample,0794
,翘,qiū,翘,～腿,curl up,0795
,弯,yué,弯,～腰,stoop,0980
,挺,tiō,挺,～胸,straight,0797
,伏,pǔ,趴,～着睡,lie on one’s stomach,0798
,爬,kué,爬,小孩在地上～,creep,0799
 ,走,ze ū,走,慢慢儿～,walk,0800
,跳,taī,跑,慢慢儿走，别～,run,0801
,逃,tié,逃,逃跑：小偷～走了,escape,0802
,追,zuaí,追,追赶：～小偷,chase,0803
,抓,zó,抓,～小偷,catch,0804
,抱,guě,抱,把小孩～在怀里,embrace,0805
,背,bó,背,～孩子,carry,0806
,搀,cán,搀,～老人,support sb.with one’s hand,0807
,推,tó,推,几个人一起～汽车,pull,0808
,砸,jiǎ,摔,跌：小孩～倒了,fall,0856
,撞,cèn,撞,人～到电线杆上,strike,0810
,挡,dēn,挡,你～住我了，我看不见,ward off,0811
,躲,zō,躲,躲藏：他～在床底下,hide,0812
,藏,cén,藏,藏放，收藏：钱～在枕头下面,hide,0813
 ,放,bēn bè,放,把碗～在桌子上,put,0814
,堆,dó,摞,把砖～起来,pile,0815
,埋,miá,埋,～在地下,bury,0816
,盖,gē,盖,把茶杯～上,cover,0817
,压,ǒ,压,用石头～住,press,0818
,摁,hiè,摁,用手指按：～图钉,pin,0819
,捅,tēn,捅,用棍子～鸟窝,stab,0820
,插,cǎ,插,把香～到香炉里,insert,0821
,戳,dò,戳,～个洞,poke,0822
,砍,kīn,砍,～树,cut,0823
,剁,dō,剁,把肉～碎做馅儿,chop,0824
,削,xiú,削,～苹果,cut,0825
,裂,liǎ,裂,木板～开了,breach,0826
,皱,zoū,皱,皮～起来,crinkle,0827
,烂,liè,腐烂,死鱼～了,rot,0828
,擦,cǒ,擦,用毛巾～手,rub,0829
,倒,diē,倒,把碗里的剩饭～掉,dump,0830
,扔,kuì,扔,丢弃：这个东西坏了，～了它,discard,0832
,扔,kuì,扔,投掷：比一比谁～得远,throw,0832
,跌,tiè,掉,掉落，坠落：树上～下一个梨,fall,0833
,滴,tiè,滴,水～下来,drip,0834
,丢,kuì,丢,丢失：钥匙～了,lose,0835
,找,tì,找,寻找：钥匙～到,seek,0836
,捡,jiě,捡,～到十块钱,pick up,0837
,拎,lián,提,用手把篮子～起来,carry,0838
,挑,ō,挑,～担,carry,0845
,背,bó,扛,káng，把锄头～在肩上,lift,0840
,抬,tiá,抬,～轿,lift,0841
,举,jū,举,～旗子,lift,0842
,打,dā,撑,～伞,put up,0843
,撬,qiū,撬,把门～开,prize up,0844
,选,suān,挑,挑选，选择：你自己～一个,pick,0845
 ,收捡,soú jiē,收拾,～东西,tidy up,0846
,扎,zǎ,挽,～袖子,roll up,0847
,荡,lēn,涮,把杯子～一下,rinse,0848
,洗,sī,洗,～衣服,wash,0849
,捞,ló,捞,～鱼,drag for,0850
,吊,dī,拴,～牛,tie down,0851
,捆,kà,捆,～起来,bind,0852
,解,gā,解,～绳子,unfasten,0853
,磨,mé,挪,～桌子,move,0854
,捧,piān,端,～碗,hold,0855
,砸,jiǎ,摔,碗～碎了,smash,0856
,掺,cèn,掺,～水,add,0857
,烧,sí,烧,～柴,burn,0858
,拆,cò,拆,～房子,pull down,0859
,转,cuàn,转,～圈儿,revolve,0860
 ,捶,cuá lē,捶,用拳头～,thump,0861
,打,dā,打,统称：他～了我一下,hit,0862
  ,打#10#11,dā sī paī,打架,动手：两个人在～,fight,0863
 ,敨气,toū cī,休息,,rest,0864
  ,打哈欠,dā hā qīn,打哈欠,,yawn,0865
   ,打困难眠,dā kìn līn fān,打瞌睡,,nod,0866
,眠,fān,睡,他已经～了,sleep,0867
  ,扯鼻头,yà paì toū,打呼噜,,snore,0868
 ,得梦,dě miàn,做梦,,dream,0869
 ,起床,sī cén,起床,,get up,0870
 ,洗澡,sī jiē,洗澡,,have a bath,0872
,想,xīn,想,思索：让我～一下,think,0874
,想,xīn,想,想念：我很～他,miss,0874
 ,打算,dā xūn,打算,我～开个店,plan,0875
 ,记得,zī dē,记得,,remember,0876
  ,记不得,zī mè dē,忘记,,forget,0877
,恐,xiān,怕,害怕：你别～,afraid,0878
,信,xiān,相信,我～你,believe,0879
   ,愁倒愁倒,coú diē coú diē,发愁,,anxious,0880
 ,小心,sī xiān,小心,过马路要～,careful,0881
 ,所喜,sō sī,喜欢,～看电视,like,0882
,烦,fié,讨厌,～这个人,hate,0883
 ,难受,lié soū,难受,生理的,sick,0885
 ,难过,lié gū,难过,心理的,sad,0886
 ,欢喜,fín sī,高兴,,delight,0887
 ,发火,fiǎ fū,生气,,irritate,0888
 ,怪夫,guā fū,责怪,,blame,0889
,悔,fē,后悔,,regret,0890
 ,眼红,liē hán,忌妒,,envy,0891
 ,恐羞,xiān coū,害羞,,shy,0892
  ,丢脸皮,guè màn pā,丢脸,,disgrace,0893
 ,欺负,cí fū,欺负,,bully,0894
,装,zén,装,～病,pretend,0895
,疼,cà,疼,～小孩儿,spoil,1026
,要,yàn,要,我～这个,want,0897
,有,hoū,有,我～一个孩子,have,0898
 ,没有,mē dè,没有,他～孩子,don’t have,1179
 ,是,sī xiān,是,我～老师,is,0900
 ,勿是,mè sī,不是,他～老师,is not,0901
,在,yé,在,他～家,at,0902
 ,勿在,mè yé,不在,他～家,(be) not in,0903
 ,晓得,daí dē,知道,我～这件事,know,0904
  ,晓勿得,daí mè dē,不知道,我～这件事,(do) not know,0905
 ,晓得,daí dē,懂,我～英语,understand,0906
  ,晓勿得,daí mè dē,不懂,我～英语,(do) not understand,0907
 ,晓得,daí dē,会,我～开车,can,0908
  ,晓勿得,daí mè dē,不会,我～开车,cannot,0909
 ,识得,sǐ dē,认识,我～他,know,0910
  ,识勿得,sǐ mè dē,不认识,我～他,(do) not know,0911
 ,要的,yàn dē,行,应答语,yes,1118
  ,要勿得,yàn mè dē,不行,应答语,no,0913
,肯,hān,肯,～来,willing,0914
,该,gé,应该,～去,may,0915
 ,可以,kō zī,可以,～去,can,0916
,讲,jiān,说,～话,say,0917
,话,hò,话,说～,word,0918
 ,谈白,tàn bè,聊天儿,,chat,0919
,叫,xiǔ,叫,～他一声儿,call,0920
   ,背起喉咙,bó sī hoú liān,吆喝,大声喊,shout,0921
,哭,hǒ,哭,小孩～,cry,0922
,斥,có,骂,当面～人,scold,0923
  ,闹#10#11,liè sī paī,吵架,动嘴：两个人在～,quarrel,0924
,骗,bān,骗,～人,lie,0925
,哄,hīn,哄,～小孩,coax,0926
  ,讲哄话,jiān hīn hò,撒谎,,tell a lie,0927
  ,吹牛皮,cuaí ngoú pā,吹牛,,brag,0928
  ,搊卵泡,coú līn piú,拍马屁,,flatter,0929
  ,讲笑话,jiān sī hò,开玩笑,,joke,0930
 ,告诉,gō sèn,告诉,～他,tell,0931
 ,多谢,dé qiō,谢谢,致谢语,thanks,0932
  ,对不住,dō mè cò,对不起,致歉语,sorry,0933
  ,再见面,jiā jīn mià,再见,告别语,goodbye,0934
,大,daí,大,苹果～,big,0935
 ,小,sī xiān,小,苹果～,small,0936
,粗,có,粗,绳子～,thick,0937
,幼,yōu,细,绳子～,thin,0938
,长,cén,长,线～,long,0941
,短,dīn,短,线～,short,0942
,长,cén,长,时间～,long,0941
,短,dīn,短,时间～,short,0942
,阔,fě,宽,路～,broad,0943
 ,阔大,fě tò,宽敞,房子～,spacious,0944
,狭,hà,窄,路～,narrow,0945
,高,gié,高,飞机飞得～,high,0948
,矮,ā,低,鸟飞得～,low,0947
,高,gié,高,他比我～,tall,0948
,矮,ā,矮,他比我～,short,0949
,远,wān,远,路～,far,0950
,近,qiān,近,路～,near,0951
,深,sán,深,水～,deep,0952
,浅,cān,浅,水～,shallow,0953
,清,qió,清,水～,clear,0954
,浑,fán,浑,水～,turbid,0955
,园,lún,圆,,round,0956
,扁,paí,扁,,flat,0957
,方,fié,方,,square,0958
,尖,zán,尖,,pointed,0959
,平,pió,平,,flat,0960
,肥,faí,肥,～肉,fat,0963
,精,jió,瘦,～肉,lean,0965
,肥,faí,肥,形容猪等动物,fat,0963
,胖,lǎ,胖,形容人,fat,0964
,枯,hó,瘦,形容人、动物,thin,0965
,黑,hě,黑,黑板的颜色,black,0989
,白,pò,白,雪的颜色,white,1188
,红,hán,红,国旗的主颜色，统称,red,0968
,黄,hín,黄,国旗上五星的颜色,yellow,0969
,蓝,ló,蓝,蓝天的颜色,blue,0970
,青,qió,绿,绿叶的颜色,green,0971
,紫,zī,紫,紫药水的颜色,purple,0972
,灰,fé,灰,草木灰的颜色,gray,0973
 ,多,dé qiō,多,东西～,many/much,0974
,少,sī,少,东西～,few/little,0975
,重,cān,重,担子～,heavy,0976
,轻,qió,轻,担子～,light,0977
,直,zì,直,线～,straight,0978
,陡,doū,陡,坡～，楼梯～,steep,0979
,弯,wān,弯,弯曲：这条路是～的,curve,0980
,歪,cuā,歪,帽子戴～了,askew,0981
,#12,zān,厚,木板～,thick,0982
,薄,pè,薄,木板～,thin,0983
,浓,lián,稠,稀饭～,thick,0984
,稀,sí,稀,稀饭～,thin,0987
,密,pá,密,菜种得～,dense,0986
,稀,sí,稀,稀疏：菜种得～,sparse,0987
,亮,lìn,亮,指光线，明亮,bright,0988
,黑,hě,黑,指光线，完全看不见,dark,0989
,热,wǔ,热,天气,hot,0994
,暖,līn,暖和,天气,warm,0991
 ,凉爽,lín xiō,凉,天气,cool,0995
,冷,lō,冷,天气,cold,0993
,热,lǒ,热,水,hot,0994
,冷,lō,凉,水,cold,0995
,干,gín,干,干燥：衣服晒～了,dry,0996
,湿,hā,湿,潮湿：衣服淋～了,wet,0997
 ,干净,gín qiò,干净,衣服～,clean,0998
 ,龌龊 马虎,wē mà,脏,肮脏，不干净，统称：衣服～,dirty,0999
,利,laì,快,锋利：刀子～,sharp,1183
,鹅=,ngé,钝,刀～,blunt,1001
,快,kyā,快,坐车比走路～,fast,1183
,慢,miè,慢,走路比坐车～,slow,1003
,早,jiē,早,来得～,early,1004
,迟,cí,晚,来～了,late,1006
,黑,hě,晚,天色～,late,1006
,松,sén,松,捆得～,loose,1007
,紧,jiān,紧,捆得～,tight,1008
 ,容得,yín dē,容易,这道题～,easy,1009
,难,lié,难,这道题～,hard,1010
,新,xián,新,衣服～,new,1011
,老,liē,旧,衣服～,old,1012
,老,liē,老,人～,old,1013
 ,年轻,lán qió,年轻,人～,young,1014
,软,luán,软,糖～,soft,1015
,硬,ngiè,硬,骨头～,hard,1016
,洋,yín,烂,肉煮得～,pasty,1017
,臭,coū,煳,饭烧～了,burnt,1018
 ,扎实,zǎ sì,结实,家具～,sturdy,1019
  ,烂,liè sī paī,破,衣服～,broken,1020
 ,发财,fiǎ qiá,富,他家很～,rich,1021
,穷,qián,穷,他家很～,poor,1022
,忙,mié,忙,最近很～,busy,1023
 ,有空,hoū hán,闲,最近比较～,leisure,1024
,苦,kō,累,走路走得很～,tired,1025
,疼,cà,疼,摔～了,hurt,1026
,痒,yīn,痒,皮肤～,itch,1027
 ,闹热,ló yè,热闹,看戏的地方很～,lively,1028
 ,熟悉,soù sì,熟悉,这个地方我很～,familiar,1029
 ,生疏,xié sō,陌生,这个地方我很～,unfamiliar,1030
 ,味道,waì tiè,味道,尝尝～,taste,1031
 ,气味,cī waì,气味,闻闻～,smell,1032
,咸,hó,咸,菜～,salty,1033
,淡,tō,淡,菜～,tasteless,1034
,酸,sún,酸,,sour,1035
,甜,tán,甜,,sweet,1036
,苦,kō,苦,,bitter,1037
,辣,lià,辣,,hot,1038
 ,新鲜,xián sān,鲜,鱼汤～,delicious,1039
,香,xin,香,,fragrant,1040
,臭,coū,臭,,smelly,1041
,馊,soú,馊,饭～,stale,1042
,腥,xió,腥,鱼～,stinking,1043
,好,hiē,好,人～,nice,1044
,坏,yà,坏,人～,bad,1045
,差,có,差,东西质量～,bad,1046
,对,dō,对,账算～了,right,1194
,错,cě,错,账算～了,wrong,1048
,姣,jiaō,漂亮,形容年轻女性的长相：她很～,beautiful,1049
,丑,coū,丑,形容人的长相：猪八戒很～,ugly,1050
 ,勤快,qió guā,勤快,,diligent,1051
 ,懒门,liē miān,懒,,lazy,1052
 ,在行,qiā hén,乖,,well-behaved,1053
 ,跳皮,tī pá,顽皮,,naughty,1054
 ,本分,biān fiàn,老实,,honest,1055
,蠢,cuān,傻,痴呆,idiot,1056
,呆,ngá,笨,蠢,stupid,1057
 ,舍得,sō dē,大方,不吝啬,generous,1058
 ,小气,xiaō cī,小气,吝啬,mean,1059
 ,直贴,cì tiē,直爽,性格～,frank,1060
,犟,qīn,犟,脾气～,stubborn,1061
,一,zǐ,一,～二三四五……，下同,one,1062
,二,lì,二,,two,1063
,三,só,三,,three,1064
,四,saī,四,,four,1065
,五,ēng,五,,five,1066
,六,liù,六,,six,1067
,七,caǐ,七,,seven,1068
,八,biǎ,八,,eight,1069
,九,jiū,九,,nine,1070
,十,sì,十,,ten,1071
 ,二十,lì sì,二十,有无合音,twenty,1072
 ,三十,só sì,三十,有无合音,thirty,1073
 ,一百,zī bǒ,一百,,hundred,1074
 ,一千,zī zán,一千,,thousand,1075
 ,一万,zī yuè,一万,,ten thousand,1076
   ,一百零五,zī bǒ lió ēng,一百零五,,a hundred and five,1077
   ,一百五十,zī bǒ ēng sì,一百五十,,a hundred and fifty,1078
 ,第一,tì zǐ,第一,～，第二,first,1079
 ,两两,līn līn,二两,重量,,1080
 ,几粒 几个,zǐ zī,几个,你有～孩子？,several,1081
 ,两人,liē ēng,俩,你们～,two,1082
  ,三个人,só dā ēng,仨,你们～,three,1083
  ,个把子,dā bē dè,个把,,several,1084
,个,dā,个,一～人,a/an,1085
,头,toú,匹,一～马,a/an,1086
,头,toú,头,一～牛,a/an,1088
,头,toú,头,一～猪,a/an,1088
,头,toú,只,一～狗,a/an,1168
,头,toú,只,一～鸡,a/an,1168
,头,toú,只,一～蚊子,a/an,1168
,头,toú,条,一～鱼,a/an,1110
,头,toú,条,一～蛇,a/an,1110
,把,bō,张,一～嘴,a/an,1095
,张,mō,张,一～桌子,piece,1095
,床,cén,床,一～被子,a/an,1096
,张,zén,领,一～席子,a/an,1097
,双,sén,双,一～鞋,pair,1098
,把,bō,把,一～刀,a/an,1100
,把,bō,把,一～锁,a/an,1100
,梗,mēn,根,一～绳子,a/an,1101
,梗,mēn,支,一～毛笔,a/an,1102
,副,fū,副,一～眼镜,pair,1103
,面,mān,面,一～镜子,a/an,1104
,块,kyā,块,一～香皂,chunk,1119
,辆,liē,辆,一～车,a/an,1106
,座,cē,座,一～房子,a/an,1108
,座,cē,座,一～桥,a/an,1108
,条,tí,条,一～河,a/an,1110
,条,tí,条,一～路,a/an,1110
,蔸,doú,棵,一～树,a/an,1111
,朵,dē,朵,一～花,a/an,1112
,粒,laǐ,颗,一～珠子,a/an,1113
,粒,laǐ,粒,一～米,a/an,1114
